h3_index,poi_count,count_poi_types,poi_type_list,poi_list
8726641b6ffffff,3,3,"artwork, bicycle_rental, social_facility","Tribute to the Past, Steelworkers Park"
872664520ffffff,59,28,"school, school, school, place_of_worship, school, bakery, cafe, bar, bar, restaurant, tyres, fast_food, convenience, artwork, variety_store, post_office, atm, clothes, artwork, artwork, artwork, gift, school, car_repair, paint, fast_food, place_of_worship, supermarket, funeral_directors, veterinary, fire_station, place_of_worship, bakery, place_of_worship, bank, bicycle, convenience, fast_food, fast_food, fuel, fast_food, clinic, restaurant, place_of_worship, bank, bank, library, ice_cream, bank, car_repair, place_of_worship, fast_food, restaurant, place_of_worship, school, school, storage_rental, fuel, convenience","Gloria Dei School, Kinzie Elementary School, Saint Daniel School, Gloria Dei Evangelical Lutheran Church, Kennedy High School, Racine Bakery, A Cup of Joe, Stan’s Corner & Helen’s Kitchen, Tom’s Tap, Ash GastroPub, Bridgestone, Wingstop, BP Shop, American Eagle, Family Dollar, The UPS Store, Bank of America, Peaches Boutique, American Eagle, American Eagle, CPD Officer Ella French, Midway Crystals, Firestone, Sherwin-Williams, KFC, Risen Savior Assembly Church, Jewel-Osco, Parkside Chapel, Abbot Animal Hospital, Chicago Fire Department Engine Company 32, Garfield Ridge Baptist Church, Pticek’s & Son Bakery, Garfield Ridge Presbyterian Church, Huntington Bank, Carmen's Bicycles, 7-Eleven, The Shrimp Shack, McDonald's, BP, Triano's Pizza, MacNeal Healt Care Center, Home Run Inn Pizzeria, Bethel Reformed Church, Huntington Bank, Bank of America, Garfield Ridge Branch Library, Andy's Frozen Custard, Archer Heights Credit Union, Jiffy Lube, Saint Daniel the Prophet Roman Catholic Church, Dunkin', Lindys Chili, Saint Jane de Chantal Roman Catholic Church, Byrne Elementary School, Saint Jane de Chantal School, Midway Storage, Shell, Shell"
872664521ffffff,43,22,"place_of_worship, place_of_worship, school, gift, newsagent, restaurant, bar, cafe, bakery, cafe, fast_food, fast_food, mobile_phone, books, fast_food, atm, information, school, restaurant, variety_store, car_repair, fast_food, fast_food, fire_station, car_parts, mobile_phone, place_of_worship, variety_store, place_of_worship, fast_food, car_parts, bank, flight_school, fuel, convenience, pharmacy, bank, school, place_of_worship, school, bank, restaurant, fast_food","Baptist Revival Center, Messiah Lutheran Church, Wesleyan Missionary Academy, iStore, Hudson News, The Orange Line, The Twisted Shamrock, Karolinka Club, La Petite Pastry, Xurro, Camden Food Co., Subway, Boost Mobile, Ink by Hudson, R.J. Grunts Burger And Fries, Chicago Midway International Airport, Robert L. Grimes Elementary School, Giordano's Pizzeria, Continental Sales “Lots 4 Less”, Valvoline, Burger King, McDonald's, Chicago Fire Department Engine Company 127, ASM Auto Parts, Boost Mobile, Wesleyan Missionary Church, Family Dollar, Clearing United Methodist Church, Dunkin', Carquest, Chicago Firefighters Credit Union, Aviation Professionals Incorporated, 7-Eleven, Walgreens, Byline Bank, John Hancock High School, Saint Symphorosa's Roman Catholic Church, Saint Symphorosa School, Fifth Third Bank, Home Run Inn Pizzeria, Dunkin' Express"
872664522ffffff,31,21,"bakery, bar, fast_food, fast_food, ice_cream, fast_food, mobile_phone, hairdresser, mobile_phone, fast_food, fast_food, restaurant, supermarket, chocolate, fast_food, fast_food, fast_food, pub, doityourself, fast_food, social_centre, bakery, clinic, social_facility, pharmacy, bank, events_venue, storage_rental, car_wash, bus_station, motel","Oak Mill Bakery, Lawlor's Bar, Domino's, Little Caesars, Baskin-Robbins, Taco Burrito King, T-Mobile, Great Clips, Boost Mobile, Big 4 Chop Suey, Subway, Healthy Substance, Aldi, Fannie May, Dunkin', Potbelly, Beefy's, El Patron, Southwest Ace Hardware, Taco Bell, American Legion, Post 735, Argo-Summit, Weber's Bakery, Nordica Medical Center, Senior Suites Garfield Ridge, Walgreens, Byline Bank, Banquets at the Mayor's Mansion, Public Storage, Jet Brite Car Wash, Archer & Neva Terminal, Rainbow Motel"
872664523ffffff,21,16,"bakery, restaurant, charity, restaurant, library, ice_cream, mobile_phone, hardware, bank, clinic, bank, supermarket, events_venue, convenience, place_of_worship, school, kindergarten, kindergarten, school, school, bus_station","Acapulco Bakery, New Warsaw 🇵🇱, The Salvation Army, Stunod's Pizzeria, Clearing Branch Library, La Michoacana, Metro by T-Mobile, Clear Ridge True Value Hardware, Chicago Patrolmen's Federal Credit Union, Fresenius Kidney Care, BMO, Fair Share Foods, Juanitas Restaurant Banquet Hall, 7-Eleven, Saint Rene Roman Catholic Church, Saint Rene School, Blair Early Childhood Center, Dore Early Childhood Center, Hale Elementary School, John C. Dore Elementary School, Narragansett & 63rd Place Terminal"
872664525ffffff,96,38,"school, place_of_worship, place_of_worship, place_of_worship, convenience, fast_food, car_rental, car_rental, car_rental, car_rental, car_rental, variety_store, car_rental, car_rental, car_rental, bar, bar, car_repair, pharmacy, cannabis, dentist, fast_food, car_parts, mobile_phone, restaurant, mobile_phone, hairdresser, mobile_phone, mobile_phone, ice_cream, florist, cafe, car_repair, beauty, bank, bicycle_rental, bicycle_rental, beauty, bicycle_rental, information, information, information, information, post_office, car_wash, payment_centre, convenience, fuel, car_repair, fast_food, cafe, storage_rental, fast_food, fuel, events_venue, convenience, fuel, convenience, car_parts, fuel, social_facility, variety_store, fast_food, cafe, car_repair, fast_food, money_transfer, motel, car, car_repair, convenience, car_rental, supermarket, place_of_worship, community_centre, restaurant, place_of_worship, convenience, pub, fuel, fast_food, bank, restaurant, social_centre, chemist, school, school, school, chemist, pawnbroker, car_parts, social_facility, school, school, school, fast_food","Our Lady of the Snows School, Beautiful Saviour Evangelical Lutheran Church, Iglesia Menonita Cristiana, Our Lady of the Snows, 7-Eleven, Subway, Dollar Car Rental, Avis, Enterprise, Thrifty, Hertz, Dollar Tree, Budget, National, Alamo, Angie’s Bar & Sunset Inn, Bohica Bar & Grill, Lara Auto Service 2, Walgreens, Midway Dispensary, Alta Dental, Subway, O'Reilly Auto Parts, Cricket Wireless, Beggars Pizza, Boost Mobile, Supercuts, Metro by T-Mobile, T-Mobile, La Michoacana Gourmet, Cafe Two07, A-OK Automotive Collison Center, K's Nails, Archer Bank, Lawler Ave & 50th St, Lavergne Ave & 46th St, e'Nails, Kilbourn Ave & 49th St, Chicago Midway International Airport, Chicago Midway International Airport, Chicago Midway International Airport, Chicago Midway International Airport, Clearing Post Office, Booting Payment Center, Mobil Mart, Mobil, Archer Knox Auto Rebuilders, Dunkin', Starbucks, U-Haul, McDonald's, BP, Los Amantes Banquet Hall, BP Shop, Shell, Tiger Mart, NAPA Auto Parts, Exxon, Midway Pointe Senior Living, Family Dollar, Popeyes, Starbucks, Goodyear, George's, Western Union, Skylark Motel, Rocket Auto Sales, Midas, Shell, Hertz, Shop & Save Market, Our Lady of the Snows Rectory, The Salvation Army Midway Citadel Corps Community Center, Bree Thai, Saint Camillus Roman Catholic Church, Mobil Mart, Sammy’s, Mobil, Wendy's, Chase, Orion Restaurant, Rhine VFW Post 2729, Walgreens, Saint Camillus School, Hearst Elementary School, Mark Twain Elementary School, Walgreens, Cash America Pawn, AutoZone, Cicero Senior Lofts, Edwards Center For Young Learners, Taco Bell"
872664528ffffff,33,19,"furniture, clothes, party, car_rental, car_rental, fast_food, video_games, fast_food, fast_food, mobile_phone, mobile_phone, clothes, money_transfer, bicycle_rental, ice_cream, atm, school, place_of_worship, bank, motel, fast_food, car_parts, fast_food, car_parts, fast_food, supermarket, motel, pharmacy, school, place_of_worship, school, doityourself, fast_food","Aaron's, Catherines, Party City, Avis, Budget, Little Caesars, GameStop, Subway, Wingstop, Metro by T-Mobile, Boost Mobile, Avenue, Western Union, Scottsdale Park, Baskin-Robbins, Adlai E. Stevenson Elementary School, Saint Bede the Venerable Church, Chase, Saratoga Motel, Arby's, O'Reilly Auto Parts, Dunkin', AutoZone, Wendy's, Aldi, Aloha Motel, CVS Pharmacy, Golgotha Early Childhood Center, Golgotha Lutheran Church, Saint Bede School, Lowe's, Chick-fil-A"
872664529ffffff,7,5,"ice_cream, bicycle_rental, place_of_worship, place_of_worship, fast_food, place_of_worship, school","Baskin-Robbins, Kildare Ave & 85th St, Hometown Christian Church Disciplines of Christ, Dunkin', Saint Peter's Evangelical Lutheran Church, Durkin Park Elementary School"
87266452cffffff,41,24,"cafe, bakery, bakery, cafe, fast_food, mobile_phone, department_store, fast_food, restaurant, fast_food, shoes, bed, department_store, variety_store, clothes, clothes, shoes, department_store, variety_store, restaurant, mobile_phone, clinic, second_hand, laundry, pharmacy, fast_food, car_repair, post_office, restaurant, fast_food, hotel, cinema, mall, fast_food, social_facility, chemist, fuel, convenience, fast_food, school, fast_food","Sweet Honey Tea, Jessica’s Bakery, Lady Di’s Bakery, O’s Donuts and Cafe, Little Caesars, Boost Mobile, JCPenney, Chipotle, IHOP, Potbelly, Foot Locker, Mattress Firm, Marshalls, Five Below, Old Navy, Citi Trends, Famous Footwear, Ross, Dollar Tree, Buffet City, Metro by T-Mobile, DaVita Dialysis, Family Thrift Store, Wash Smart Lavanderia, Walgreens, Dunkin', Auto Repair Classroom, Southwest Carrier Annex, Lou Malnati's Pizzeria, Taco Bell, Holiday Inn LXG Midway Airport, AMC Ford City 14, Ford City Mall, Burger King, ICH-1, Walgreens, Marathon, Marathon, Panda Express, Mariano Azuela Elementary School, Culver's"
87266452dffffff,48,19,"school, bar, restaurant, convenience, car_wash, car_repair, bicycle_rental, bicycle_rental, bicycle_rental, bicycle_rental, bicycle_rental, social_facility, bicycle_rental, college, school, place_of_worship, place_of_worship, place_of_worship, place_of_worship, convenience, laundry, variety_store, restaurant, fast_food, fuel, post_office, fire_station, place_of_worship, fuel, variety_store, bank, convenience, library, fire_station, convenience, fast_food, convenience, fuel, car_parts, fuel, school, school, school, school, fuel, school, social_facility, school","Southwest School of Business, Smoke Filled Room, Vito & Nick's Pizzeria, Citgo, Mobil, Caliber Collision, Kedzie Ave & 83rd St, Columbus Ave & 83rd Pl, Pulaski Rd & 84th St, Springfield Ave & 80th St, Columbus Ave & 79th St, New Foundation Of Hope Inc, Pulaski Rd & 75th St, Richard J. Daley College, Dawes Elementary School, Ashburn Lutheran Church, Ashburn Baptist Church, Masjid Al Muhajireen, Ashburn United Methodist Church, Citgo, Smart Wash, Family Dollar, Angie's, McDonald's, Citgo, Ashburn Post Office, Chicago Fire Department Engine Company 64, First Christian Church of Chicago, Citgo, Dollar Tree, Republic Bank of Chicago, Mobil Mart, Scottsdale Branch Library, Chicago Fire Department Engine Company 15, Citgo, Burger King, Citgo, Citgo, AutoZone, Citgo, Bogan High School, Owen Scholastic Academy, Ashburn Community Area Academy, Sarah E. Goode STEM Academy, Mobil, Lionel Hampton Fine & Performing Arts School, Ashburn Lutheran School"
