h3_index,poi_cat_automotive,poi_cat_civic_community,poi_cat_education,poi_cat_entertainment,poi_cat_finance,poi_cat_food_drink,poi_cat_grocery,poi_cat_health,poi_cat_leisure_sports,poi_cat_lodging,poi_cat_nightlife,poi_cat_services,poi_cat_shopping,poi_cat_transport
872664cc3ffffff,1,40,11,4,3,17,19,1,0,0,1,0,6,23
872664cc4ffffff,2,39,16,39,9,35,10,11,1,0,2,12,17,14
872664cc5ffffff,0,32,23,34,11,53,12,6,8,1,3,12,17,19
872664cc6ffffff,1,19,12,1,1,10,7,4,0,0,0,1,9,11
872664cc8ffffff,6,17,14,1,7,20,9,5,0,2,1,0,14,10
872664cc9ffffff,3,14,5,0,0,9,4,2,0,0,0,0,1,5
872664ccaffffff,0,23,10,1,1,3,3,0,0,1,0,3,1,8
872664ccbffffff,0,3,5,5,0,2,1,0,0,0,0,2,0,7
872664cccffffff,4,36,11,3,3,10,6,3,0,1,0,5,7,13
872664ccdffffff,7,43,17,5,6,18,12,9,1,0,1,9,15,8
872664cceffffff,3,24,11,0,9,16,11,4,0,1,4,6,19,13
872664cd0ffffff,6,22,18,1,6,20,23,2,1,0,0,9,10,15
872664cd1ffffff,8,45,16,3,3,12,7,2,0,0,0,1,6,12
872664cd2ffffff,5,19,11,6,13,43,19,5,1,0,5,3,16,14
872664cd3ffffff,3,14,8,1,2,6,6,1,0,0,0,0,2,16
872664cd4ffffff,3,15,24,1,7,19,15,3,0,0,3,5,21,16
872664cd5ffffff,4,23,18,2,0,2,8,2,0,0,0,1,3,17
872664cd6ffffff,10,5,10,0,9,22,13,6,1,2,6,7,16,13
872664cd8ffffff,1,26,15,0,1,4,6,0,12,1,1,3,4,16
872664cd9ffffff,1,11,14,0,0,5,3,3,0,2,0,0,2,12
872664cdaffffff,1,1,2,0,1,5,2,1,2,0,0,0,3,2
872664cdbffffff,3,14,8,3,4,18,4,4,0,0,0,1,7,4
872664cdcffffff,1,73,18,2,1,7,13,2,0,0,0,0,8,11
872664cddffffff,2,17,10,0,5,18,10,2,1,0,0,4,20,12
872664cdeffffff,4,13,6,0,1,9,4,1,3,0,0,2,4,11
872664ce2ffffff,1,21,12,9,1,8,4,2,0,0,1,1,4,6
872664ce3ffffff,1,6,7,7,8,57,7,5,0,3,4,18,20,8
872664ce6ffffff,0,0,0,2,0,2,0,0,0,0,1,0,0,0
872664ceaffffff,0,19,8,10,1,20,11,3,2,0,3,14,13,11
872664cebffffff,1,18,9,2,0,6,3,0,0,0,0,1,5,6
872664cf0ffffff,4,21,16,6,10,46,12,4,1,2,8,9,31,17
872664cf1ffffff,4,24,18,5,0,16,12,1,0,1,3,12,1,12
872664cf2ffffff,3,15,13,1,3,17,15,5,0,0,2,4,11,22
872664cf3ffffff,2,8,6,0,6,14,11,6,0,0,3,0,13,6
872664cf4ffffff,1,20,17,37,10,124,29,5,1,2,16,20,30,22
872664cf5ffffff,2,22,24,9,5,34,9,7,1,1,6,10,6,23
872664cf6ffffff,6,19,20,21,11,61,26,7,3,0,6,6,25,14
872664d81ffffff,12,10,8,8,9,35,19,6,0,0,5,23,30,15
872664d83ffffff,1,16,2,1,1,4,4,1,0,0,0,1,1,3
872664d88ffffff,7,22,11,22,12,110,27,16,2,1,25,26,67,19
872664d89ffffff,2,24,16,23,15,98,34,14,4,3,11,20,32,17
872664d8affffff,5,29,23,0,4,42,15,4,0,7,4,4,9,22
872664d8bffffff,8,31,24,13,16,161,36,21,4,1,34,40,54,25
872664d8cffffff,3,31,17,50,9,92,30,10,0,3,20,22,35,17
872664d8dffffff,0,6,0,1,0,1,1,0,0,0,2,0,0,1
