h3_index,poi_category,poi_count,count_poi_types,poi_type_list,poi_list
8826645641fffff,civic_community,11,2,"place_of_worship, place_of_worship, place_of_worship, place_of_worship, social_facility, place_of_worship, place_of_worship, place_of_worship, place_of_worship, place_of_worship, social_facility","Holy Miracle Church, Apostolic Assembly of the Lord Jesus Christ, Mount Calvary Interdenominational Church, Trinity All Nations Church, Roseland Senior Center, International Deliverance Center Church of God in Christ, Christian Missionary Baptist Church, Brown Temple Mission Church, Emmanuel Reformed Church, Kingdom Hall of Jehovah's Witnesses (Rosemoor), Roseland Place Senior Apartments"
8826645641fffff,education,1,1,school,Langston Hughes Elementary School
8826645641fffff,food_drink,2,1,"fast_food, fast_food","Jimmy's Best, White Castle"
8826645641fffff,grocery,1,1,convenience,Mobil Mart
8826645641fffff,health,1,1,pharmacy,Walgreens
8826645641fffff,lodging,1,1,motel,Royal Motel
8826645641fffff,transport,2,2,"bicycle_rental, fuel","Wentworth Ave & 104th St, Mobil"
8826645643fffff,civic_community,14,1,"place_of_worship, place_of_worship, place_of_worship, place_of_worship, place_of_worship, place_of_worship, place_of_worship, place_of_worship, place_of_worship, place_of_worship, place_of_worship, place_of_worship, place_of_worship, place_of_worship","New Saint John Missionary Baptist Church Number 2, Galilee Missionary Baptist Church, Evangelist Jerry Smith Crusade Memorial Church of God in Christ, Bethel House of Prayer, New Covenant Church of God in Christ, Church of Today, Roseland Faith Temple Church of God in Christ, Holy Mount Zion Pentecostal Church, Lilydale Progressive Missionary Baptist Church, All Saints Catholic Church, Roseland Christian Ministries Center, Christ Bible Center, Saint George and Matthias Episcopal Church, Zion Lutheran Church"
8826645643fffff,education,4,2,"school, school, library, school","All Saints School, Debbies School of Beauty Culture, Pullman Branch Library, Gwendolyn Brooks Preparatory Academy"
8826645643fffff,finance,1,1,money_transfer,Western Union
8826645643fffff,food_drink,1,1,fast_food,A.P. Deli
8826645643fffff,shopping,1,1,books,Burst Into Books
8826645645fffff,civic_community,8,2,"place_of_worship, place_of_worship, place_of_worship, place_of_worship, place_of_worship, fire_station, place_of_worship, place_of_worship","Prayers Warriors Missionary Baptist Church, Ambassadors for Christ Church of God in Christ, House of God, Church of Christ, Gods House of Holiness in Christ, Chicago Fire Department Engine Company 93, Journey Church of Chicago, New Macedonia Baptist Church"
8826645645fffff,grocery,1,1,grocery,Blak's Corner Store
8826645645fffff,shopping,1,1,variety_store,Dollar General
8826645647fffff,civic_community,2,1,"place_of_worship, place_of_worship","Mount Ebal Missionary Baptist Church, First General Assembly Church"
8826645647fffff,education,3,1,"school, school, school","Kwame Nkrumah Academy, Roseland Christian School, Mildred Lavizzo Elementary School"
8826645649fffff,automotive,1,1,car_parts,AutoZone
8826645649fffff,civic_community,2,1,"place_of_worship, place_of_worship","Saint John De La Salle Roman Catholic Church, Damascus Baptist Church"
8826645649fffff,education,1,1,school,Bennett Elementary School
8826645649fffff,finance,1,1,bank,Chase
8826645649fffff,food_drink,5,3,"ice_cream, restaurant, fast_food, fast_food, fast_food","Baskin-Robbins, Sammy's Breakfast, Church's Chicken, Burger King, Subway"
8826645649fffff,grocery,1,1,convenience,Citgo
8826645649fffff,shopping,5,2,"variety_store, mobile_phone, mobile_phone, variety_store, mobile_phone","Family Dollar, Boost Mobile, Metro by T-Mobile, Dollar Tree, T-Mobile"
8826645649fffff,transport,2,2,"bicycle_rental, fuel","Indiana Ave & 103rd St, Citgo"
882664564bfffff,civic_community,3,1,"place_of_worship, place_of_worship, place_of_worship","Pullman Christian Reformed Church, Community Bible Teaching Pentecostal Church, Pullman Presbyterian Church"
882664564bfffff,education,2,1,"school, school","Park Vernon Learning Academy, Cullen Elementary School"
882664564bfffff,food_drink,1,1,fast_food,Dunkin'
882664564bfffff,grocery,1,1,convenience,76
882664564bfffff,transport,2,2,"bicycle_rental, fuel","Vernon Ave & 107th St, 76"
882664564dfffff,education,1,1,school,Hephzibah Christian Academy
8826645651fffff,automotive,2,2,"car_wash, tyres","Shell, Wentworth Tire Service"
8826645651fffff,civic_community,5,4,"courthouse, police, social_facility, place_of_worship, place_of_worship","Cook County Municipal Court, Chicago Police Department 5th District, Illinois DHS Family Community Resource Center in Cook County - Roseland, House of Hope, Greenstone United Methodist Church"
8826645651fffff,education,1,1,school,Pullman Elementary School
8826645651fffff,entertainment,1,1,artwork,
8826645651fffff,food_drink,2,2,"restaurant, cafe","Lexington Betty Smoke House, The Pullman Cafe"
8826645651fffff,grocery,1,1,convenience,Shell
8826645651fffff,health,1,1,veterinary,Kragness Animal Hospital
8826645651fffff,nightlife,1,1,bookmaker,Club Hawthorne Off-Track Betting
8826645655fffff,automotive,2,1,"car_repair, car_repair","One Stop Auto, Auto Driveaway"
8826645655fffff,civic_community,8,1,"place_of_worship, place_of_worship, place_of_worship, place_of_worship, place_of_worship, place_of_worship, place_of_worship, place_of_worship","United Bibleway Community Missionary Baptist Church, Kingdom Hall of Jehovahs Witnesses, Greater Tabernacle Missionary Baptist Church, Holy Rosary Roman Catholic Church, The First Roseland Baptist Church, Reformation Lutheran Church, Kingdom Word Church Chicago, Paradise Temple Church of God in Christ"
8826645655fffff,education,2,1,"school, school","Holy Rosary School, Martin Luther Educational Center"
8826645655fffff,entertainment,4,2,"artwork, museum, artwork, artwork",Historic Pullman Foundation Exhibit Hall
8826645655fffff,services,1,1,funeral_directors,Paradise Garden Funeral Home
8826645655fffff,transport,2,1,"bicycle_rental, bicycle_rental","Cottage Grove Ave & 111th Pl, MLK Jr Dr & 111th St"
8826645657fffff,civic_community,2,1,"place_of_worship, place_of_worship","Saint Peters Spiritual Church of Faith, Crown of Life M.B. Church"
8826645657fffff,food_drink,2,2,"cafe, fast_food","Cal Harbor Restaurant & Lounge, McDonald's"
8826645657fffff,grocery,2,2,"convenience, supermarket","Kensington Korner, Farmfoods"
8826645657fffff,health,1,1,clinic,Chicago Family Health Center
8826645659fffff,finance,1,1,bank,U.S. Bank
8826645659fffff,food_drink,5,1,"fast_food, fast_food, fast_food, fast_food, fast_food","Potbelly, Wingstop, Subway, Culver's, Chick-fil-A"
8826645659fffff,grocery,1,1,supermarket,Walmart Supercenter
