h3_index,poi_cat_automotive,poi_cat_civic_community,poi_cat_education,poi_cat_entertainment,poi_cat_finance,poi_cat_food_drink,poi_cat_grocery,poi_cat_health,poi_cat_leisure_sports,poi_cat_lodging,poi_cat_nightlife,poi_cat_services,poi_cat_shopping,poi_cat_transport
882664562bfffff,0,5,1,0,0,0,0,0,0,0,0,0,0,0
882664562dfffff,0,2,1,0,0,0,1,0,0,0,0,1,1,2
8826645631fffff,0,2,1,0,0,1,0,0,0,0,0,0,1,0
8826645633fffff,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8826645639fffff,0,2,2,0,0,0,0,0,0,0,0,0,0,2
882664563bfffff,1,2,0,0,0,0,1,0,0,0,0,0,0,2
882664563dfffff,0,0,1,0,0,0,0,0,0,0,1,0,0,1
8826645641fffff,0,11,1,0,0,2,1,1,0,1,0,0,0,2
8826645643fffff,0,14,4,0,1,1,0,0,0,0,0,0,1,0
8826645645fffff,0,8,0,0,0,0,1,0,0,0,0,0,1,0
8826645647fffff,0,2,3,0,0,0,0,0,0,0,0,0,0,0
8826645649fffff,1,2,1,0,1,5,1,0,0,0,0,0,5,2
882664564bfffff,0,3,2,0,0,1,1,0,0,0,0,0,0,2
882664564dfffff,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8826645651fffff,2,5,1,1,0,2,1,1,0,0,1,0,0,0
8826645655fffff,2,8,2,4,0,0,0,0,0,0,0,1,0,2
8826645657fffff,0,2,0,0,0,2,2,1,0,0,0,0,0,0
8826645659fffff,0,0,0,0,1,5,1,1,0,0,0,0,4,3
882664565dfffff,0,2,0,2,0,1,1,0,0,0,0,0,0,1
8826645661fffff,0,2,1,0,0,0,0,0,0,0,0,1,0,2
8826645663fffff,0,3,3,2,0,1,0,0,0,0,0,0,0,2
8826645665fffff,0,0,0,0,0,2,0,0,0,0,0,1,0,1
8826645667fffff,0,4,2,0,0,1,1,0,0,0,0,0,0,1
8826645669fffff,0,5,1,0,3,4,1,0,0,0,0,0,3,3
882664566bfffff,1,4,2,1,1,0,3,2,0,0,0,0,0,2
882664566dfffff,0,4,2,0,1,0,0,0,0,0,0,1,0,1
88266456c1fffff,0,0,0,1,0,0,0,0,0,0,0,0,0,0
88266456c5fffff,0,6,3,0,0,0,0,0,0,0,0,1,0,0
88266456c9fffff,0,0,1,0,0,0,0,0,0,0,0,0,0,0
88266456cbfffff,0,0,0,0,0,0,0,0,1,0,0,0,0,0
88266456cdfffff,0,2,2,0,0,0,0,0,0,0,0,2,0,1
88266456e3fffff,0,0,0,0,0,0,0,0,0,0,0,1,0,0
88266456e9fffff,0,0,1,0,0,0,0,0,0,0,0,0,0,1
88266456ebfffff,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8826645701fffff,0,2,0,0,1,0,1,0,0,0,0,0,0,2
8826645703fffff,0,1,0,0,0,0,1,0,0,0,0,0,0,0
8826645705fffff,0,0,0,0,0,1,0,0,0,0,0,1,0,1
8826645707fffff,1,0,1,0,0,0,0,0,0,0,0,0,0,1
8826645709fffff,0,1,1,0,0,0,0,0,0,0,0,0,0,0
882664570bfffff,0,2,3,0,2,2,1,3,0,0,0,1,4,1
882664570dfffff,0,1,0,0,0,0,0,0,0,0,1,0,1,0
8826645719fffff,0,1,1,0,0,1,0,0,0,0,0,0,0,0
882664571bfffff,0,0,0,0,1,0,0,1,0,0,0,0,2,1
882664571dfffff,1,0,0,0,0,0,0,0,0,0,0,0,0,0
882664572bfffff,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8826645743fffff,1,1,0,0,0,5,2,0,0,0,0,0,2,1
8826645745fffff,0,1,4,0,0,0,0,0,0,0,0,0,0,0
8826645747fffff,0,1,1,0,0,0,0,0,0,0,0,0,0,0
882664574bfffff,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8826645751fffff,2,2,1,0,1,6,2,0,0,0,2,0,0,0
8826645753fffff,0,5,2,1,1,0,1,0,0,0,0,0,1,1
8826645755fffff,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8826645757fffff,0,0,1,0,0,0,1,0,0,0,0,0,1,1
8826645759fffff,0,2,0,2,0,3,0,0,0,0,1,1,0,1
882664575bfffff,0,6,2,0,0,0,1,0,0,0,0,0,0,0
