geoid10,poi_cat_automotive,poi_cat_civic_community,poi_cat_education,poi_cat_entertainment,poi_cat_finance,poi_cat_food_drink,poi_cat_grocery,poi_cat_health,poi_cat_leisure_sports,poi_cat_lodging,poi_cat_nightlife,poi_cat_services,poi_cat_shopping,poi_cat_transport
17031062300,0,0,0,0,0,8,0,1,0,0,0,1,0,0
17031062400,0,1,0,0,1,1,1,0,1,0,0,0,2,0
17031062500,0,1,1,2,1,7,1,1,0,0,4,2,3,1
17031062600,0,0,1,0,2,5,2,3,0,0,1,3,1,2
17031062700,1,2,1,1,0,21,2,1,0,0,5,1,8,3
17031062800,0,0,5,0,0,11,0,2,0,0,7,1,3,2
17031062900,0,2,1,0,0,11,2,0,0,0,1,0,1,2
17031063000,0,0,1,4,1,28,5,7,0,1,7,0,7,1
17031063100,0,2,0,2,3,15,2,0,0,0,4,9,5,2
17031063200,0,0,0,2,0,6,2,3,1,0,3,2,1,2
17031063301,0,0,1,1,0,10,1,3,0,1,3,4,6,0
17031063302,0,0,1,2,0,2,2,2,0,0,1,0,0,0
17031063303,0,0,0,5,0,2,0,1,0,0,0,0,0,0
17031063400,0,1,1,1,0,24,1,2,0,1,6,2,10,1
17031070101,0,8,1,15,0,13,1,0,2,0,3,1,0,5
17031070102,0,1,0,0,1,11,4,5,0,0,1,4,3,1
17031070103,0,1,0,0,0,4,0,1,0,0,3,1,0,0
17031070200,0,4,2,0,2,18,1,1,0,0,7,3,8,2
17031070300,0,3,1,4,2,25,2,0,1,0,8,1,3,2
17031070400,2,1,3,1,1,9,2,2,0,0,4,1,2,5
17031070500,0,2,0,0,0,0,1,0,0,0,2,2,0,2
17031070600,1,0,2,0,1,5,0,1,0,0,2,3,4,3
17031070700,0,2,4,1,4,9,2,1,1,0,2,9,11,4
17031071000,0,1,4,3,0,5,1,2,1,1,2,3,1,2
17031071100,0,2,2,5,2,19,1,2,0,0,5,1,4,3
