valid_time,u10,v10,latitude,longitude
2024-01-01 00:00:00,2.7051086,-5.9716873,42.000000000001165,-87.8000000000066
2024-01-01 01:00:00,2.6585083,-7.0368414,42.000000000001165,-87.8000000000066
2024-01-01 02:00:00,2.4786072,-7.0092373,42.000000000001165,-87.8000000000066
2024-01-01 03:00:00,2.4428253,-6.8610077,42.000000000001165,-87.8000000000066
2024-01-01 04:00:00,2.0843048,-6.889282,42.000000000001165,-87.8000000000066
2024-01-01 05:00:00,1.3947906,-6.9655457,42.000000000001165,-87.8000000000066
2024-01-01 06:00:00,0.74121094,-6.597023,42.000000000001165,-87.8000000000066
2024-01-01 07:00:00,-0.045669556,-6.101698,42.000000000001165,-87.8000000000066
2024-01-01 08:00:00,-0.063568115,-5.7267904,42.000000000001165,-87.8000000000066
2024-01-01 09:00:00,0.20491028,-5.45512,42.000000000001165,-87.8000000000066
2024-01-01 10:00:00,0.53344727,-5.2169285,42.000000000001165,-87.8000000000066
2024-01-01 11:00:00,0.8637848,-4.658821,42.000000000001165,-87.8000000000066
2024-01-01 12:00:00,1.3189087,-4.0720634,42.000000000001165,-87.8000000000066
2024-01-01 13:00:00,1.7939148,-3.6416397,42.000000000001165,-87.8000000000066
2024-01-01 14:00:00,1.9750366,-3.2918015,42.000000000001165,-87.8000000000066
2024-01-01 15:00:00,2.0316772,-3.332838,42.000000000001165,-87.8000000000066
2024-01-01 16:00:00,1.9979706,-3.061657,42.000000000001165,-87.8000000000066
2024-01-01 17:00:00,2.0758362,-2.6813965,42.000000000001165,-87.8000000000066
2024-01-01 18:00:00,2.2419128,-2.0847015,42.000000000001165,-87.8000000000066
2024-01-01 19:00:00,3.0223694,-1.1209412,42.000000000001165,-87.8000000000066
2024-01-01 20:00:00,3.2236176,-0.61974525,42.000000000001165,-87.8000000000066
2024-01-01 21:00:00,3.499817,-0.24055481,42.000000000001165,-87.8000000000066
2024-01-01 22:00:00,3.6843872,0.13168907,42.000000000001165,-87.8000000000066
2024-01-01 23:00:00,3.4376373,0.43055153,42.000000000001165,-87.8000000000066
2024-01-02 00:00:00,3.6649017,0.669302,42.000000000001165,-87.8000000000066
2024-01-02 01:00:00,3.649826,0.8161278,42.000000000001165,-87.8000000000066
2024-01-02 02:00:00,3.5060425,1.0923119,42.000000000001165,-87.8000000000066
2024-01-02 03:00:00,3.5655518,1.4890652,42.000000000001165,-87.8000000000066
2024-01-02 04:00:00,3.6963348,1.8487968,42.000000000001165,-87.8000000000066
2024-01-02 05:00:00,3.9712677,2.1298132,42.000000000001165,-87.8000000000066
2024-01-02 06:00:00,4.1956024,2.145194,42.000000000001165,-87.8000000000066
2024-01-02 07:00:00,4.6071777,1.9723005,42.000000000001165,-87.8000000000066
2024-01-02 08:00:00,4.1284943,2.0116282,42.000000000001165,-87.8000000000066
2024-01-02 09:00:00,3.870041,2.1868334,42.000000000001165,-87.8000000000066
2024-01-02 10:00:00,3.7175293,2.5231838,42.000000000001165,-87.8000000000066
2024-01-02 11:00:00,3.9338837,3.026082,42.000000000001165,-87.8000000000066
2024-01-02 12:00:00,3.5736694,3.2077541,42.000000000001165,-87.8000000000066
2024-01-02 13:00:00,3.645691,3.4198322,42.000000000001165,-87.8000000000066
2024-01-02 14:00:00,3.8310547,3.538436,42.000000000001165,-87.8000000000066
2024-01-02 15:00:00,4.1125336,4.118927,42.000000000001165,-87.8000000000066
2024-01-02 16:00:00,4.6904755,4.252228,42.000000000001165,-87.8000000000066
2024-01-02 17:00:00,5.253601,3.9613495,42.000000000001165,-87.8000000000066
2024-01-02 18:00:00,5.4100647,3.701889,42.000000000001165,-87.8000000000066
2024-01-02 19:00:00,5.2903137,3.9696808,42.000000000001165,-87.8000000000066
2024-01-02 20:00:00,5.136902,3.4586182,42.000000000001165,-87.8000000000066
2024-01-02 21:00:00,4.676758,2.9503326,42.000000000001165,-87.8000000000066
2024-01-02 22:00:00,4.2781525,2.4893188,42.000000000001165,-87.8000000000066
2024-01-02 23:00:00,4.1087494,2.1381836,42.000000000001165,-87.8000000000066
2024-01-03 00:00:00,4.1787567,1.7211456,42.000000000001165,-87.8000000000066
2024-01-03 01:00:00,4.1310883,1.1108856,42.000000000001165,-87.8000000000066
2024-01-03 02:00:00,3.8616333,0.59303474,42.000000000001165,-87.8000000000066
2024-01-03 03:00:00,3.535019,0.50453377,42.000000000001165,-87.8000000000066
2024-01-03 04:00:00,3.2626038,0.41812134,42.000000000001165,-87.8000000000066
2024-01-03 05:00:00,3.060913,0.33504772,42.000000000001165,-87.8000000000066
2024-01-03 06:00:00,2.9382324,0.17819786,42.000000000001165,-87.8000000000066
2024-01-03 07:00:00,2.62146,-0.17743492,42.000000000001165,-87.8000000000066
2024-01-03 08:00:00,2.630371,-0.4211254,42.000000000001165,-87.8000000000066
2024-01-03 09:00:00,2.6310425,-0.29421425,42.000000000001165,-87.8000000000066
2024-01-03 10:00:00,2.6532135,-0.28526115,42.000000000001165,-87.8000000000066
2024-01-03 11:00:00,2.6346588,-0.31048012,42.000000000001165,-87.8000000000066
2024-01-03 12:00:00,2.4960327,-0.3722992,42.000000000001165,-87.8000000000066
2024-01-03 13:00:00,2.6189728,-0.71796227,42.000000000001165,-87.8000000000066
2024-01-03 14:00:00,2.6523895,-0.86566544,42.000000000001165,-87.8000000000066
2024-01-03 15:00:00,3.1137695,-0.9692669,42.000000000001165,-87.8000000000066
2024-01-03 16:00:00,3.2885895,-1.9744749,42.000000000001165,-87.8000000000066
2024-01-03 17:00:00,3.1132202,-1.85466,42.000000000001165,-87.8000000000066
2024-01-03 18:00:00,3.1707306,-1.9467773,42.000000000001165,-87.8000000000066
2024-01-03 19:00:00,2.8826447,-2.5950012,42.000000000001165,-87.8000000000066
