h3_index,poi_count,count_poi_types,poi_type_list,poi_list
882664cd51fffff,13,7,"school, bicycle_rental, alcohol, convenience, school, fast_food, fuel, place_of_worship, fuel, convenience, school, fuel, school","Mays School, Ashland Ave & Garfield Blvd, D&A Food & Liquor, Clark's Pump-N-Shop, Fulton Elementary School, Dunkin', Amstar, Julia Gay Memorial United Methodist Church, Clark, Citgo, Henderson Elementary School, Citgo, CICS Basil School"
882664cd53fffff,20,9,"school, school, place_of_worship, school, place_of_worship, place_of_worship, school, place_of_worship, bicycle_rental, convenience, fast_food, mobile_phone, fire_station, variety_store, place_of_worship, fuel, place_of_worship, fuel, convenience, school","Assumption School, Saint Raphael School, Kingdom of Christ Baptist Church, Charles Harrison Mason Bible College, Christ Temple Apostolic Church, New Way Mission Church, Philadelphia Church of God in Christ School, Spirit of Love Missionary Baptist Church, Marshfield Ave & 59th St, Citgo, Subway, Metro by T-Mobile, Chicago Fire Department Engine Company 116, Family Dollar, Philadelphia Church of God in Christ, Citgo, Assumption Blessed Virgin Mary Roman Catholic Church, Clark, Clark's Pump-N-Shop"
882664cd55fffff,10,7,"place_of_worship, bicycle_rental, bicycle_rental, place_of_worship, variety_store, fuel, convenience, car, school, school","Lithuanian Jesuit Fathers Roman Catholic Church, Seeley Ave & Garfield Blvd, Artesian Ave & 55th St, Saint Peter and Paul Russian Orthodox Church, Dollar Tree, BP, BP Shop, Horizon Science Academy (Southwest Chicago), Lithuanian Institute of Education"
882664cd57fffff,4,4,"place_of_worship, bicycle_rental, car_parts, farm","Cannon Temple Missionary Baptist Church, Damen Ave & 59th St, Robbin's, Growing Home Farm Stand"
882664cd59fffff,12,7,"bicycle_rental, bicycle_rental, clinic, artwork, place_of_worship, car_parts, car_parts, social_facility, school, clinic, school, social_facility","Throop St & 52nd St, Ashland Ave & 50th St, ACCESS Ashland Family Health Center, Sherman American History Series, Spiritual Rock M.B. Church, AutoZone, O'Reilly Auto Parts, Su Casa, Richards Career Academy, Access Center For Discovery And Learning, Libby Elementary School"
882664cd5bfffff,8,5,"place_of_worship, place_of_worship, place_of_worship, bicycle_rental, bicycle_rental, information, convenience, library","Greater New Mount Zion Missionary Baptist Church, Stone Temple Church of God in Christ, Samuel Temple Church of God in Christ, Elizabeth St & 59th St, Racine Ave & Garfield Blvd, Sherman Park, Sherman Park Branch Library"
882664cd5dfffff,7,4,"bicycle_rental, artwork, place_of_worship, place_of_worship, school, school, school","Damen Ave & 51st St, Paul Cornell, Spiritual Wholistic Ministries of Love and Faith, Saint Mary's Byzantine Catholic Church, Richard J. Daley Academy, Saint Rose Center, Saint Mary's School"
882664cd61fffff,21,18,"hotel, restaurant, cafe, bar, ice_cream, bicycle_rental, pharmacy, tyres, bar, chemist, convenience, fuel, bank, place_of_worship, car_repair, social_centre, school, school, school, mobile_phone, bureau_de_change","Carlton Inn Midway, Birrieria Zaragoza, Pastel! Cakes and More, Watra Night Club, De Colores, Springfield Ave & 47th St, Walgreens, Archer Premier Tire Shop, The Apartment Lounge, Walgreens, Shell, Shell, Self-Help Federal Credit Union, Saint Bruno's Roman Catholic Church, Valvoline, Polish Highlanders Alliance, Curie Metropolitan High School, Saint Bruno School, Edwards Elementary School, T-Mobile, 47th & Pulaski Currency Exchange"
882664cd63fffff,3,3,"bicycle_rental, school, post_depot","St. Louis Ave & Norman Bobbins Pl, Eric Solorio Academy High School, Amazon DIL3"
882664cd65fffff,11,7,"bar, bar, bakery, bicycle_rental, school, school, school, bicycle_rental, storage_rental, convenience, fuel","Chicago Sports Bar & Grill, Illinois Bar & Grill On 47th, La Central Bakery, Kildare Ave & 47th St, Acero SPC Daniel Zizumbo Elementary School, Acero PFC Omar E. Torres Elementary School, Acero Major Hector P. García M.D. High School, Kilbourn Ave & 49th St, Public Storage, Citgo, Citgo"
